Date,Open,High,Low,Close,Volume
14/07/10,20302,20302,19800,20323,57702
14/07/11,20388,20388,20195,20262,1883
14/07/14,20200,20353,20100,20150,13510
14/07/15,20335,20335,20099,20200,23626
14/07/16,20200,20296,20170,20200,12666
14/07/17,20100,20211,19606,20101,8674
14/07/18,20100,20299,19786,20000,35666
14/07/21,19901,20000,19709,19889,8527
14/07/22,19926,20001,19825,19979,8832
14/07/23,20059,20059,19615,19860,18498
14/07/24,20100,20299,19851,19977,23847
14/07/25,19861,20100,19850,19853,8875
14/07/28,19826,20001,19826,19860,3564
14/07/29,19860,19969,19850,19900,15759
14/07/30,19901,19901,19860,19900,12602
14/07/31,20000,20119,19850,19988,9779
14/08/01,19850,20052,19826,20006,10672
14/08/04,20112,20112,19850,19850,2418
14/08/05,19831,19981,19500,19500,23781
14/08/06,19851,20119,19624,19881,8417
14/08/07,19910,20080,19308,19988,6793
14/08/08,20120,20120,19400,19908,8681
14/08/11,19711,20395,19550,20190,19925
14/08/12,19550,21505,19550,21125,84073
14/08/13,21401,21500,20900,21037,37626
14/08/14,21456,21457,20900,21081,11768
14/08/15,20312,21130,19920,20910,12373
14/08/18,20491,21405,20050,21066,23165
14/08/19,21365,21623,19750,21623,18527
14/08/20,21451,21948,20650,21948,32408
14/08/21,21645,22950,21599,22499,45165
14/08/22,22526,22625,22350,22500,27250
14/08/25,22700,22800,21301,22655,15275
14/08/26,21942,22800,21190,22264,10760
14/08/27,21701,22650,21400,21800,19462
14/08/28,22150,22534,21983,22057,5963
14/08/29,22250,22250,21950,22000,6132
14/09/01,21799,22100,21749,21890,62996
14/09/02,21923,22199,21400,21790,7935
14/09/03,21790,21790,20351,21237,31224
14/09/04,20100,21699,20100,21400,26421
14/09/05,21300,21722,21300,21610,23829
14/09/08,21610,21800,21461,21675,8380
14/09/09,21193,21701,21193,21700,20153
14/09/10,21301,21755,21301,21395,10356
14/09/11,21400,21675,21400,21500,10048
14/09/12,21656,21700,21500,21700,9698
14/09/15,21800,21800,21597,21598,223
14/09/16,21594,22500,21404,21699,14167
14/09/17,21530,21697,21400,21697,9481
14/09/18,21505,21695,21193,21695,15605
14/09/19,21220,21700,21193,21300,95848
14/09/22,21194,21500,21040,21177,36761
14/09/23,21170,21689,20001,21042,31868
14/09/25,21351,21480,20500,20996,47254
14/09/26,21000,21425,20886,21012.85,49701
14/09/29,21006,21013,20883,21000,35469
14/09/30,20832,21349,20819,21054,45828
14/10/01,20950,21399,20821,21122,10237
14/10/02,21005,21290,20926,21050,19649
14/10/03,21049,21388,20820,20820,33883
14/10/06,20901,21000,20820,20820,2937
14/10/07,20820,20893,20450,20650,12125
14/10/08,20659,20750,20101,20450,39677
14/10/09,20301,20900,20301,20600,35947
14/10/10,20325,20599,20050,20091,10998
14/10/13,20050,20999,19230,19865,107164
14/10/14,19547,20036,19547,19952,48074
14/10/15,19930,20048,19284,19900,27873
14/10/16,19700,19900,19200,19900,47421
14/10/17,19998,21400,18800,19600,514397
14/10/20,19700,19700,19116,19639,48433
14/10/21,19719,20490,19400,19505,68268
14/10/22,20060,20060,19171,19500,75716
14/10/23,20005,20005,19430,19430,10238
14/10/24,19724,19724,19392,19642,38060
14/10/27,19642,19674,19381,19436,55414
14/10/28,20402,20402,19451,19744,46308
14/10/29,20099,20099,19472,19801,27209
14/10/30,19801,20434,19615,19850,41961
14/10/31,19950,20430,19900,20430,22365
14/11/03,20361,20799,20023,20538,32159
14/11/04,20700,20700,20036,20500,63105
14/11/05,20542,20580,20028,20451,22433
14/11/06,20125,20502,20050,20216,22392
14/11/07,20800,20800,20351,20482,13565
14/11/10,20496,20888,20495,20789,33242
14/11/11,20733,21379,20405,20952,65679
14/11/12,21320,21500,21000,21250,34961
14/11/13,20800,21408,20800,21300,35702
14/11/14,21203,21350,21201,21300,37682
14/11/17,21300,21500,21299,21500,14924
14/11/18,21499,21600,21304,21482,9891
14/11/19,21301,21549,20681,21549,12779
14/11/20,20600,22000,20401,21597,23241
14/11/21,21699,21750,21450,21455,70849
14/11/24,21798,21799,21451,21514,2786
14/11/25,21790,21798,21400,21600,21267
14/11/26,21799,21800,20263,20500,50385
14/11/27,21450,21450,20504,21089,9008
14/11/28,21303,21400,20501,21400,37937
14/12/01,21399,21399,21027,21268,41386
14/12/02,21366,21398,20850,21207,6569
14/12/03,21300,21798,20886,21090,28768
14/12/04,21301,21793,21218,21620,4231
14/12/05,21620,21999,21620,21655,16974
14/12/08,21999,22000,21703,21850,14453
14/12/09,21900,21999,21760,21800,10602
14/12/10,21900,21996,21501,21775,19157
14/12/11,21421,21949,19700,20947,44478
14/12/12,21247,21870,20019,20737,27866
14/12/15,19750,20731,19750,20467,3728
14/12/17,20370,20797,20328,20700,14888
14/12/18,20393,21596,20393,21500,7743
14/12/19,21587,21741,21225,21500,20728
14/12/22,21500,21500,20851,21200,13067
14/12/23,21118,21425,21106,21250,10659
14/12/24,21484,21500,21190,21500,6804
